,Country,People,Total_number_of_astronaut ,Number_of_Satilites,,,Purpose,Amount,,Launches,Name,Flight_Time
,,,,,,,,,,,Alexander Kaleri,769:06:35
,,,,,,,,,,,Sergei Krikalev,803:09:39
,,,,,,,,,,,Yuri Malenchenko,826:09:22
,,,,,,,,,,,Gennady Padalka,878:11:29
,,,,,,,,,,,Oleg Novitskiy,897:06:19
,,,,,,,,,,,Gregory B. Jarvis,000:00:00
,,,,,,,,,,,Michael J. Smith,000:00:01
,,,,,,,,,,,S. Christa McAuliffe,000:00:02
,,,,,,,,,,,Joseph A. Walker,000:00:03
,,,,,,,,,,,Brian Binnie,000:00:04
,,,,,,,,,,,Michael Melvill,000:00:05
,,,,,,,,,,,Yuri Gagarin,000:00:06
,,,,,,,,,,,Scott Carpenter,000:00:07
,,,,,,,,,,,"Virgil I. ""Gus"" Grissom",000:00:08
,,,,,,,,,,,Yang Liwei,000:00:09
,,,,,,,,,,,"Boris Yegorov, M.D.",000:00:10
,,,,,,,,,,,Konstantin Feoktistov,000:00:11
,,,,,,,,,,,Gherman Titov,000:00:12
,,,,,,,,,,,Pavel Belyayev,000:00:13
,,,,,,,,,,,Georgi Ivanov,000:00:14
,,,,,,,,,,,Vasili Lazarev,000:00:15
,,,,,,,,,,,Yevgeny Khrunov,000:00:16
,,,,,,,,,,,Valery Rozhdestvensky,000:00:17
,,,,,,,,,,,Vyacheslav Zudov,000:00:18
,,,,,,,,,,,Gennadi Sarafanov,000:00:19
,,,,,,,,,,,Lev Dyomin,000:00:20
,,,,,,,,,,,Vladimir Komarov,000:00:21
,,,,,,,,,,,Liu Boming,000:00:22
,,,,,,,,,,,Zhai Zhigang,000:00:23
,,,,,,,,,,,Valentina Tereshkova,000:00:24
,,,,,,,,,,,Ellison Onizuka,000:00:25
,,,,,,,,,,,Gary Payton,000:00:26
,,,,,,,,,,,Georgi Beregovoi,000:00:27
,,,,,,,,,,,William Pailes,000:00:28
,,,,,,,,,,,Edward White,000:00:29
,,,,,,,,,,,Fei Junlong,000:00:30
,,,,,,,,,,,Georgi Shonin,000:00:31
,,,,,,,,,,,Michael J. McCulley,000:00:32
,,,,,,,,,,,"Sonny Carter, M.D.",000:00:33
,,,,,,,,,,,Donald Peterson,000:00:34
,,,,,,,,,,,William B. Lenoir,000:00:35
,,,,,,,,,,,Fred Haise,000:00:36
,,,,,,,,,,,"John ""Jack"" Swigert",000:00:37
,,,,,,,,,,,Judith Resnik,000:00:38
,,,,,,,,,,,Robert J. Cenker,000:00:39
,,,,,,,,,,,William Anders,000:00:40
,,,,,,,,,,,Rodolfo Neri Vela,000:00:41
,,,,,,,,,,,Sherwood Spring,000:00:42
,,,,,,,,,,,Thomas Hennen,000:00:43
,,,,,,,,,,,Dick Scobee,000:00:44
,,,,,,,,,,,Terry Hart,000:00:45
,,,,,,,,,,,David Griggs,000:00:46
,,,,,,,,,,,Edwin J. Garn,000:00:47
,,,,,,,,,,,Don Lind,000:00:48
,,,,,,,,,,,Lodewijk van den Berg,000:00:49
,,,,,,,,,,,Taylor Wang,000:00:50
,,,,,,,,,,,Aleksei Leonov,000:00:51
,,,,,,,,,,,Ernst Messerschmid,000:00:52
,,,,,,,,,,,Reinhard Furrer,000:00:53
,,,,,,,,,,,Wubbo Ockels,000:00:54
,,,,,,,,,,,Patrick Baudry,000:00:55
,,,,,,,,,,,Sultan bin Salman bin Abdulaziz Al Saud,000:00:56
,,,,,,,,,,,"William Frederick Fisher, M.D.",000:00:57
,,,,,,,,,,,Dumitru Prunariu,000:00:58
,,,,,,,,,,,Phạm Tuân,000:00:59
,,,,,,,,,,,Jügderdemidiin Gürragchaa,000:00:60
,,,,,,,,,,,Arnaldo Tamayo Méndez,000:00:61
,,,,,,,,,,,Bertalan Farkas,000:00:62
,,,,,,,,,,,Sigmund Jähn,000:00:63
,,,,,,,,,,,Hazza Al Mansouri,000:00:64
,,,,,,,,,,,Helen Sharman,000:00:65
,,,,,,,,,,,Rakesh Sharma,000:00:66
,,,,,,,,,,,Ivan Bella,000:00:67
,,,,,,,,,,,Anatoli Levchenko,000:00:68
,,,,,,,,,,,Miroslaw Hermaszewski,000:00:69
,,,,,,,,,,,Dennis Tito,000:00:70
,,,,,,,,,,,Franz Viehböck,000:00:71
,,,,,,,,,,,Toktar Aubakirov,000:00:72
,,,,,,,,,,,Vladimír Remek,000:00:73
,,,,,,,,,,,"Mae Jemison, M.D.",000:00:74
,,,,,,,,,,,Anthony W. England,000:00:75
,,,,,,,,,,,John-David F. Bartoe,000:00:76
,,,,,,,,,,,Karl Henize,000:00:77
,,,,,,,,,,,Loren Acton,000:00:78
,,,,,,,,,,,Roy Bridges,000:00:79
,,,,,,,,,,,Muhammed Faris,000:00:80
,,,,,,,,,,,Franco Malerba,000:00:81
,,,,,,,,,,,Ronald McNair,000:00:82
,,,,,,,,,,,"Anna Lee Fisher, M.D.",000:00:83
,,,,,,,,,,,"Roberta Bondar, M.D.",000:00:84
,,,,,,,,,,,Jon McBride,000:00:85
,,,,,,,,,,,Paul Scully-Power,000:00:86
,,,,,,,,,,,Richard Truly,000:00:87
,,,,,,,,,,,Neil Armstrong,000:00:88
,,,,,,,,,,,Joe Edwards,000:00:89
,,,,,,,,,,,Abdul Ahad Mohmand,000:00:90
,,,,,,,,,,,Dirk Frimout,000:00:91
,,,,,,,,,,,Aleksei Yeliseyev,000:00:92
,,,,,,,,,,,Edgar Mitchell,000:00:93
,,,,,,,,,,,Stuart Roosa,000:00:94
,,,,,,,,,,,Alan Shepard,000:00:95
,,,,,,,,,,,"Donald ""Deke"" Slayton",000:00:96
,,,,,,,,,,,"F. Drew Gaffney, M.D.",000:00:97
,,,,,,,,,,,Millie Hughes-Fulford,000:00:98
,,,,,,,,,,,John Glenn,000:00:99
,,,,,,,,,,,Joe H. Engle,000:00:100
,,,,,,,,,,,"L. Gordon Cooper, Jr.",000:00:101
,,,,,,,,,,,Konstantin Kozeyev,000:00:102
,,,,,,,,,,,Nikolay Rukavishnikov,000:00:103
,,,,,,,,,,,Gregory Olsen,000:00:104
,,,,,,,,,,,Marcos Pontes,000:00:105
,,,,,,,,,,,Mark Shuttleworth,000:00:106
,,,,,,,,,,,Yuri Shargin,000:00:107
,,,,,,,,,,,Robert Springer,000:00:108
,,,,,,,,,,,Vladimir Shatalov,000:00:109
,,,,,,,,,,,Ulrich Walter,000:00:110
,,,,,,,,,,,Rusty Schweickart,000:00:111
,,,,,,,,,,,Mark Brown,000:00:112
,,,,,,,,,,,Boris Morukov,000:00:113
,,,,,,,,,,,"Robert Satcher, M.D.",000:00:114
,,,,,,,,,,,Lee Morin,000:00:115
,,,,,,,,,,,Donn F. Eisele,000:00:116
,,,,,,,,,,,Walter Cunningham,000:00:117
,,,,,,,,,,,Anatoly Filipchenko,000:00:118
,,,,,,,,,,,Anousheh Ansari,000:00:119
,,,,,,,,,,,"Sheikh Muszaphar Shukor, M.D.",000:00:120
,,,,,,,,,,,Yi So-yeon,000:00:121
,,,,,,,,,,,Guy Laliberté,000:00:122
,,,,,,,,,,,Mary L. Cleave,000:00:123
,,,,,,,,,,,Duane G. Carey,000:00:124
,,,,,,,,,,,Charles Duke,000:00:125
,,,,,,,,,,,Michael Collins,000:00:126
